airline,source,destination,duration,total_stops,additional_info,price,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year
Air India,banglore,new delhi,170,0,no info,4441,13,20,18,3,2019
Multiple Carriers,delhi,cochin,505,1,no info,12537,7,5,27,3,2019
Goair,kolkata,banglore,555,1,no info,10091,22,25,24,3,2019
Air India,banglore,delhi,170,0,no info,6961,21,5,3,6,2019
Indigo,delhi,cochin,195,0,no info,5013,5,35,24,4,2019
Air India,delhi,cochin,170,0,no info,6934,5,10,18,5,2019
Multiple Carriers,delhi,cochin,740,1,no info,10877,6,40,3,6,2019
Jet Airways,banglore,delhi,175,0,no info,7229,15,15,18,4,2019
Indigo,delhi,cochin,575,1,no info,7048,16,0,27,3,2019
Vistara,banglore,delhi,155,0,no info,4878,17,0,27,6,2019
Jet Airways,kolkata,banglore,570,1,in-flight meal not included,10844,14,5,21,5,2019
Jet Airways,delhi,cochin,1760,2,no info,15129,23,5,18,5,2019
Indigo,banglore,delhi,175,0,no info,3943,0,30,12,5,2019
Spicejet,delhi,cochin,315,1,no info,5583,6,5,6,6,2019
Multiple Carriers,delhi,cochin,545,1,no info,9646,7,5,6,6,2019
Multiple Carriers,delhi,cochin,645,1,no info,7677,8,30,3,6,2019
Indigo,delhi,cochin,295,1,no info,6842,5,10,1,6,2019
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,4995,8,45,24,6,2019
Vistara,kolkata,banglore,700,1,no info,9555,7,10,9,6,2019
Indigo,banglore,delhi,165,0,no info,4077,1,30,1,6,2019
Jet Airways,banglore,delhi,175,0,no info,7229,15,15,12,5,2019
Multiple Carriers,delhi,cochin,600,1,no info,12192,9,0,9,6,2019
Air India,banglore,delhi,165,0,no info,5911,10,0,12,4,2019
Air India,delhi,cochin,615,1,no info,8372,9,0,12,6,2019
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,4995,7,10,18,3,2019
Multiple Carriers,delhi,cochin,555,1,no info,14323,10,0,9,5,2019
Jet Airways,delhi,cochin,1375,2,no info,13014,5,30,9,6,2019
Air India,delhi,cochin,1730,2,no info,13591,14,25,6,6,2019
Jet Airways,delhi,cochin,2245,2,no info,18799,5,25,3,3,2019
Indigo,banglore,delhi,170,0,no info,3943,23,30,27,4,2019
Spicejet,mumbai,hyderabad,90,0,no check-in baggage included,1965,5,45,21,5,2019
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,4995,10,20,27,5,2019
Air India,kolkata,banglore,1540,1,no info,14641,16,50,24,3,2019
Air India,kolkata,banglore,155,0,no info,4460,20,45,12,4,2019
Air India,delhi,cochin,375,1,no info,10191,13,0,18,5,2019
Jet Airways,delhi,cochin,1050,1,in-flight meal not included,13843,2,15,9,3,2019
Indigo,delhi,cochin,345,1,no info,6349,21,50,1,5,2019
Air Asia,kolkata,banglore,155,0,no info,4409,10,20,1,5,2019
Jet Airways,delhi,cochin,1530,1,no info,17024,18,15,6,3,2019
Multiple Carriers,delhi,cochin,835,1,no info,13727,7,5,18,5,2019
Indigo,banglore,new delhi,175,0,no info,8855,18,25,15,3,2019
Multiple Carriers,delhi,cochin,615,1,no info,12524,8,45,24,6,2019
Jet Airways,banglore,new delhi,520,1,no info,13555,11,40,18,3,2019
Jet Airways,kolkata,banglore,330,1,in-flight meal not included,10844,6,30,6,6,2019
Multiple Carriers,delhi,cochin,720,1,no info,13587,9,0,9,6,2019
Spicejet,chennai,kolkata,135,0,no check-in baggage included,3543,9,45,12,6,2019
Vistara,chennai,kolkata,135,0,no info,4842,7,5,18,3,2019
Indigo,banglore,delhi,170,0,no info,3943,23,30,24,4,2019
Jet Airways,delhi,cochin,550,1,in-flight meal not included,10577,19,15,9,6,2019
Indigo,delhi,cochin,625,1,no info,6979,10,35,15,5,2019
Vistara,chennai,kolkata,140,0,no info,11982,17,45,27,6,2019
Spicejet,delhi,cochin,270,1,no info,5264,8,45,6,6,2019
Vistara,delhi,cochin,190,0,no info,8001,6,0,3,3,2019
Air India,delhi,cochin,1410,2,no info,10651,19,45,1,6,2019
Jet Airways,kolkata,banglore,1640,1,in-flight meal not included,10844,16,30,24,5,2019
Multiple Carriers,delhi,cochin,755,1,no info,6601,9,45,27,3,2019
Air India,delhi,cochin,1455,1,no info,6587,19,0,21,3,2019
Spicejet,mumbai,hyderabad,80,0,no info,3173,13,10,21,3,2019
Air India,banglore,delhi,165,0,no info,5228,10,0,9,5,2019
Jet Airways,banglore,delhi,180,0,in-flight meal not included,5769,7,10,21,6,2019
Jet Airways,delhi,cochin,660,1,no info,14714,8,0,6,6,2019
Jet Airways,delhi,cochin,810,2,no info,13014,5,30,3,6,2019
Indigo,banglore,delhi,170,0,no info,3359,22,10,3,6,2019
Goair,banglore,new delhi,175,0,no info,6722,20,55,3,3,2019
Indigo,kolkata,banglore,165,0,no info,4462,9,35,18,3,2019
Indigo,delhi,cochin,675,1,no info,6171,4,55,9,3,2019
Air India,kolkata,banglore,875,2,no info,12303,5,50,21,5,2019
Multiple Carriers,delhi,cochin,835,1,no info,7695,11,40,21,3,2019
Indigo,delhi,cochin,845,1,no info,5684,11,25,24,6,2019
Air India,kolkata,banglore,905,1,no info,8366,16,50,12,6,2019
Air India,chennai,kolkata,135,0,no info,19630,11,40,1,3,2019
Jet Airways,banglore,new delhi,900,1,in-flight meal not included,13502,14,5,6,3,2019
Jet Airways,kolkata,banglore,775,1,no info,14781,21,10,1,5,2019
Multiple Carriers,delhi,cochin,540,1,no info,6513,7,10,12,6,2019
Air India,delhi,cochin,735,1,no info,9929,7,0,1,6,2019
Multiple Carriers,delhi,cochin,460,2,no info,18275,17,50,6,6,2019
Air India,delhi,cochin,1640,1,no info,4487,6,5,9,4,2019
Indigo,mumbai,hyderabad,85,0,no info,2754,21,20,15,3,2019
Air India,mumbai,hyderabad,80,0,no info,2575,6,20,27,3,2019
Spicejet,kolkata,banglore,330,1,no info,8224,15,55,12,6,2019
Air India,delhi,cochin,705,1,no info,8991,20,30,9,3,2019
Indigo,delhi,cochin,195,0,no info,5000,5,35,24,6,2019
Jet Airways,kolkata,banglore,1495,1,in-flight meal not included,8529,18,55,12,6,2019
Air India,delhi,cochin,1640,1,no info,14042,6,5,3,3,2019
Jet Airways,banglore,delhi,175,0,in-flight meal not included,4030,11,10,24,5,2019
Jet Airways,kolkata,banglore,1025,1,in-flight meal not included,10844,18,55,6,6,2019
Indigo,kolkata,banglore,160,0,no info,4804,21,25,6,5,2019
Multiple Carriers,delhi,cochin,480,1,in-flight meal not included,7308,17,30,27,5,2019
Indigo,banglore,delhi,180,0,no info,4823,16,55,12,5,2019
Jet Airways,delhi,cochin,1655,1,in-flight meal not included,10262,9,0,24,6,2019
Jet Airways,delhi,cochin,450,1,in-flight meal not included,12898,20,55,27,5,2019
Air India,banglore,new delhi,1375,2,no info,12778,17,25,12,3,2019
Indigo,delhi,cochin,515,1,no info,14871,4,45,3,3,2019
Air India,delhi,cochin,1795,2,no info,8708,13,20,21,3,2019
Jet Airways,kolkata,banglore,1335,1,in-flight meal not included,10844,20,0,6,6,2019
Spicejet,mumbai,hyderabad,80,0,no info,4129,5,45,6,3,2019
Indigo,kolkata,banglore,160,0,no info,4804,21,25,18,5,2019
Jet Airways,banglore,delhi,180,0,no info,7229,8,20,6,5,2019
Jet Airways,banglore,new delhi,730,1,in-flight meal not included,7832,7,0,21,3,2019
Spicejet,chennai,kolkata,155,0,no info,3859,9,30,18,3,2019
Multiple Carriers,delhi,cochin,705,1,no info,9001,7,30,6,6,2019
Vistara,banglore,delhi,155,0,no info,4878,17,0,9,5,2019
Indigo,mumbai,hyderabad,90,0,no info,2754,2,35,3,5,2019
Vistara,banglore,delhi,160,0,no info,4668,7,0,27,6,2019
Air Asia,kolkata,banglore,155,0,no info,5216,10,20,12,5,2019
Jet Airways,delhi,cochin,1375,2,in-flight meal not included,10368,5,30,6,6,2019
Indigo,delhi,cochin,880,2,no info,8146,6,40,9,3,2019
Jet Airways,delhi,cochin,925,1,no info,12242,13,0,27,3,2019
Jet Airways,banglore,new delhi,435,1,in-flight meal not included,9134,8,0,15,3,2019
Air India,delhi,cochin,1210,2,no info,10939,13,15,6,6,2019
Air India,delhi,cochin,1245,2,no info,11753,10,55,6,6,2019
Spicejet,kolkata,banglore,150,0,no info,4174,17,10,24,4,2019
Jet Airways,kolkata,banglore,1430,1,in-flight meal not included,10844,20,0,21,5,2019
Jet Airways,delhi,cochin,1620,1,no info,14714,16,0,3,6,2019
Jet Airways,kolkata,banglore,330,1,in-flight meal not included,9899,6,30,12,6,2019
Indigo,delhi,cochin,710,1,no info,14871,9,10,3,3,2019
Indigo,chennai,kolkata,135,0,no info,7295,13,20,6,3,2019
Air India,delhi,cochin,1470,2,no info,13465,18,45,6,6,2019
Spicejet,chennai,kolkata,140,0,no check-in baggage included,3543,17,45,21,5,2019
Multiple Carriers,delhi,cochin,390,1,no info,7198,19,0,27,6,2019
Jet Airways,delhi,cochin,1225,1,in-flight meal not included,10262,8,0,1,6,2019
Indigo,kolkata,banglore,155,0,no info,4148,15,20,15,3,2019
Jet Airways,banglore,delhi,175,0,no info,8016,15,15,27,6,2019
Jet Airways,delhi,cochin,335,1,in-flight meal not included,10262,22,50,9,6,2019
Spicejet,kolkata,banglore,150,0,no check-in baggage included,3841,14,55,15,6,2019
Jet Airways,banglore,new delhi,885,1,no info,11507,9,45,12,3,2019
Jet Airways,kolkata,banglore,740,1,no info,14781,8,25,1,5,2019
Jet Airways,delhi,cochin,1530,1,no info,16079,17,30,27,5,2019
Jet Airways,delhi,cochin,335,1,in-flight meal not included,12898,22,50,27,5,2019
Multiple Carriers,delhi,cochin,705,1,no info,15353,7,30,6,3,2019
Indigo,banglore,new delhi,175,0,no info,7303,18,25,24,3,2019
Spicejet,kolkata,banglore,340,1,no info,6197,15,5,24,3,2019
Air India,kolkata,banglore,245,1,no info,8996,9,10,9,6,2019
Indigo,delhi,cochin,480,1,no info,6528,14,20,21,3,2019
Goair,banglore,delhi,165,0,no info,4239,20,55,9,4,2019
Indigo,kolkata,banglore,160,0,no info,4148,20,25,12,3,2019
Spicejet,banglore,delhi,175,0,no info,3971,21,10,24,5,2019
Air Asia,kolkata,banglore,955,1,no info,5192,7,35,6,5,2019
Jet Airways,delhi,cochin,1390,2,no info,9483,13,25,9,4,2019
Jet Airways,delhi,cochin,440,2,no info,18804,11,40,3,6,2019
Air India,delhi,cochin,170,0,no info,5201,5,10,18,6,2019
Jet Airways,delhi,cochin,450,1,no info,16079,11,30,27,5,2019
Jet Airways,banglore,delhi,180,0,in-flight meal not included,7229,19,50,15,6,2019
Multiple Carriers,delhi,cochin,465,1,no info,6795,17,45,27,5,2019
Jet Airways,kolkata,banglore,1520,1,no info,10953,9,35,9,5,2019
Multiple Carriers,delhi,cochin,625,2,no info,15965,15,5,24,6,2019
Air India,delhi,cochin,1820,2,no info,9968,12,55,9,4,2019
Indigo,kolkata,banglore,155,0,no info,4804,22,15,6,6,2019
Jet Airways,delhi,cochin,540,1,no info,16079,10,0,27,5,2019
Jet Airways,delhi,cochin,910,2,in-flight meal not included,11507,21,25,12,6,2019
Air India,kolkata,banglore,1700,2,no info,11542,9,25,9,6,2019
Jet Airways,banglore,delhi,180,0,no info,7229,17,45,24,4,2019
Jet Airways,banglore,delhi,165,0,in-flight meal not included,4544,6,0,27,4,2019
Indigo,delhi,cochin,295,1,no info,6496,5,10,15,5,2019
Indigo,kolkata,banglore,160,0,no info,4804,21,25,15,6,2019
Air India,banglore,new delhi,1330,1,no info,13439,11,5,1,3,2019
Jet Airways,delhi,cochin,610,1,in-flight meal not included,6540,18,15,27,3,2019
Indigo,banglore,delhi,170,0,no info,4591,23,30,1,6,2019
Indigo,banglore,new delhi,260,1,no info,4437,16,15,18,3,2019
Air Asia,delhi,cochin,660,1,no info,6151,20,10,21,3,2019
Jet Airways,banglore,delhi,180,0,in-flight meal not included,7754,17,45,21,6,2019
Jet Airways,delhi,cochin,1355,1,in-flight meal not included,10262,14,0,24,6,2019
Jet Airways,banglore,delhi,185,0,no info,8016,18,55,9,6,2019
Spicejet,kolkata,banglore,160,0,no check-in baggage included,4781,6,55,24,3,2019
Vistara,banglore,delhi,170,0,no info,4668,11,30,27,6,2019
Air India,banglore,new delhi,1265,1,no info,14594,11,50,6,3,2019
Jet Airways,kolkata,banglore,710,1,no info,14231,16,55,24,3,2019
Air India,delhi,cochin,1535,1,no info,8425,5,15,15,5,2019
Multiple Carriers,delhi,cochin,925,1,no info,9646,7,5,12,6,2019
Indigo,chennai,kolkata,145,0,no info,7295,14,40,3,3,2019
Air Asia,kolkata,banglore,220,1,no info,5162,6,50,9,4,2019
Indigo,banglore,new delhi,175,0,no info,6860,18,25,9,3,2019
Vistara,delhi,cochin,190,0,no info,6216,6,0,15,4,2019
Air Asia,kolkata,banglore,710,1,no info,5192,7,35,24,5,2019
Indigo,banglore,delhi,170,0,no info,4823,20,0,9,4,2019
Spicejet,banglore,delhi,170,0,no check-in baggage included,3919,9,30,3,4,2019
