airline,source,destination,duration,total_stops,additional_info,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year,price
Indigo,banglore,delhi,165,0,no info,1,30,9,4,2019,3419
Multiple Carriers,delhi,cochin,395,1,no info,6,0,12,6,2019,11789
Jet Airways,delhi,cochin,1610,1,no info,16,0,21,3,2019,12557
Air India,banglore,new delhi,1490,1,no info,10,30,3,3,2019,11003
Jet Airways,banglore,delhi,180,0,no info,8,20,27,5,2019,7229
Goair,delhi,cochin,460,1,no info,5,55,9,6,2019,5199
Air India,delhi,cochin,1545,2,no info,5,55,6,3,2019,15428
Jet Airways,kolkata,banglore,425,1,no info,16,30,24,5,2019,14571
Indigo,delhi,cochin,825,1,no info,8,35,21,3,2019,6790
Air India,kolkata,banglore,155,0,no info,20,45,24,4,2019,4145
Jet Airways,banglore,new delhi,1200,1,no info,11,40,18,3,2019,12284
Indigo,delhi,cochin,635,1,no info,11,55,3,6,2019,6442
Spicejet,chennai,kolkata,140,0,no info,17,45,27,5,2019,3597
Indigo,kolkata,banglore,155,0,no info,17,15,1,6,2019,5224
Jet Airways,kolkata,banglore,1150,1,in-flight meal not included,21,10,21,5,2019,10844
Indigo,kolkata,banglore,340,1,no info,14,30,24,3,2019,9413
Jet Airways,delhi,cochin,810,2,no info,5,30,18,5,2019,15129
Multiple Carriers,delhi,cochin,630,1,in-flight meal not included,15,0,27,5,2019,6943
Jet Airways,banglore,delhi,175,0,in-flight meal not included,15,15,1,6,2019,7229
Spicejet,chennai,kolkata,135,0,no info,8,20,27,5,2019,3597
Indigo,kolkata,banglore,155,0,no info,20,20,24,5,2019,4804
Spicejet,banglore,delhi,175,0,no check-in baggage included,21,10,27,6,2019,4319
Jet Airways,delhi,cochin,1225,1,in-flight meal not included,8,0,6,3,2019,13843
Spicejet,kolkata,banglore,155,0,no info,6,55,1,4,2019,3873
Spicejet,mumbai,hyderabad,85,0,no check-in baggage included,22,45,18,3,2019,1965
Jet Airways,delhi,cochin,1375,2,no info,5,30,21,5,2019,15129
Jet Airways,kolkata,banglore,1660,1,in-flight meal not included,18,55,24,5,2019,10844
Jet Airways,kolkata,banglore,590,1,no info,8,25,6,6,2019,14571
Jet Airways,kolkata,banglore,750,1,no info,9,35,15,5,2019,12121
Jet Airways,delhi,cochin,560,2,in-flight meal not included,9,40,6,6,2019,10368
Indigo,mumbai,hyderabad,90,0,no info,9,10,24,6,2019,4049
Air Asia,delhi,cochin,870,1,no info,7,55,1,6,2019,8759
Air India,delhi,cochin,185,0,no info,18,5,24,6,2019,5201
Indigo,chennai,kolkata,140,0,no info,19,35,9,3,2019,6297
Jet Airways,kolkata,banglore,1655,1,no info,5,45,18,5,2019,14388
Spicejet,kolkata,banglore,330,1,no info,15,55,1,4,2019,7646
Spicejet,kolkata,banglore,315,1,no info,15,5,9,4,2019,4649
Vistara,delhi,cochin,190,0,no info,14,40,18,5,2019,6741
Multiple Carriers,delhi,cochin,630,1,no info,8,30,9,6,2019,11622
Air India,kolkata,banglore,875,2,no info,5,50,6,6,2019,10991
Air India,kolkata,banglore,555,1,no info,7,0,1,5,2019,10203
Jet Airways,kolkata,banglore,1545,1,no info,16,30,9,5,2019,13941
Multiple Carriers,delhi,cochin,630,1,no info,8,30,15,5,2019,9627
Indigo,delhi,cochin,615,1,no info,10,45,21,3,2019,6838
Jet Airways,delhi,cochin,535,2,in-flight meal not included,19,30,12,6,2019,10368
Indigo,chennai,kolkata,140,0,no info,22,5,27,3,2019,5277
Air India,kolkata,banglore,810,2,no info,8,20,18,5,2019,10697
Goair,delhi,cochin,310,1,no info,14,25,27,6,2019,7870
Air India,delhi,cochin,1565,1,no info,6,10,6,3,2019,11038
Multiple Carriers,delhi,cochin,910,1,no info,10,20,27,6,2019,6270
Jet Airways,mumbai,hyderabad,85,0,no info,2,55,12,5,2019,5678
Vistara,kolkata,banglore,1580,1,no info,20,20,21,5,2019,8452
Jet Airways,kolkata,banglore,740,1,in-flight meal not included,8,25,1,4,2019,7064
Spicejet,chennai,kolkata,135,0,no check-in baggage included,8,20,1,6,2019,3543
Indigo,delhi,cochin,455,1,no info,8,35,18,5,2019,6442
Indigo,banglore,new delhi,175,0,no info,7,10,24,3,2019,6860
Multiple Carriers,delhi,cochin,780,1,no info,6,0,15,5,2019,9794
Air India,kolkata,banglore,150,0,no info,14,15,21,3,2019,5170
Jet Airways,delhi,cochin,810,2,no info,5,30,1,6,2019,13014
Jet Airways,banglore,new delhi,315,1,no info,8,0,6,3,2019,19225
Jet Airways,kolkata,banglore,865,1,in-flight meal not included,18,55,12,5,2019,9663
Jet Airways,kolkata,banglore,510,1,no info,14,5,12,6,2019,13626
Indigo,kolkata,banglore,150,0,no info,15,15,6,5,2019,4804
Air India,banglore,new delhi,1010,2,no info,17,25,12,3,2019,12778
Spicejet,kolkata,banglore,330,1,no info,15,55,9,5,2019,8224
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,2,55,6,6,2019,4050
Jet Airways,delhi,cochin,800,1,in-flight meal not included,15,5,9,3,2019,14053
Indigo,delhi,cochin,420,1,no info,18,35,27,3,2019,8574
Jet Airways,delhi,cochin,450,1,no info,20,55,9,5,2019,15554
Jet Airways,kolkata,banglore,800,1,no info,20,25,1,4,2019,14151
Indigo,mumbai,hyderabad,85,0,no info,12,0,15,3,2019,3175
Air India,kolkata,banglore,905,1,no info,16,50,24,5,2019,8576
Indigo,banglore,new delhi,170,0,no info,4,0,24,3,2019,5694
Jet Airways,delhi,cochin,195,0,in-flight meal not included,9,50,18,6,2019,4466
Jet Airways,banglore,new delhi,1480,1,no info,7,0,18,3,2019,11455
Jet Airways,delhi,cochin,360,1,no info,13,0,9,5,2019,15554
Jet Airways,kolkata,banglore,870,1,no info,20,25,24,5,2019,13067
Spicejet,delhi,cochin,295,1,no info,17,55,15,5,2019,5409
Indigo,kolkata,banglore,155,0,no info,14,20,12,3,2019,4148
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,19,35,24,6,2019,3210
Jet Airways,banglore,delhi,185,0,no info,18,55,27,6,2019,8016
Air India,delhi,cochin,735,1,no info,7,0,21,3,2019,7934
Air India,mumbai,hyderabad,1630,2,no info,6,0,6,3,2019,13169
Multiple Carriers,delhi,cochin,510,1,no info,17,0,9,5,2019,9424
Air India,delhi,cochin,185,0,no info,18,5,3,3,2019,8666
Indigo,kolkata,banglore,165,0,no info,22,10,15,3,2019,4148
Air India,delhi,cochin,320,1,no info,17,40,1,6,2019,7384
Jet Airways,delhi,cochin,1395,1,in-flight meal not included,19,45,18,5,2019,12373
Indigo,delhi,cochin,345,1,no info,2,0,27,3,2019,5733
Air India,banglore,new delhi,725,1,no info,11,50,9,3,2019,10972
Jet Airways,delhi,cochin,610,1,in-flight meal not included,18,15,24,6,2019,10262
Indigo,banglore,delhi,170,0,no info,13,0,15,4,2019,4591
Indigo,delhi,cochin,345,1,no info,2,0,24,4,2019,5241
Spicejet,kolkata,banglore,160,0,no check-in baggage included,6,55,15,3,2019,3815
Indigo,delhi,cochin,645,1,no info,4,45,27,3,2019,7048
Multiple Carriers,delhi,cochin,720,1,no info,9,0,27,3,2019,6883
Jet Airways,kolkata,banglore,800,1,no info,18,55,21,5,2019,14388
Multiple Carriers,delhi,cochin,855,2,no info,7,5,3,3,2019,8291
Indigo,mumbai,hyderabad,90,0,no info,19,5,1,4,2019,2754
Jet Airways,delhi,cochin,300,1,in-flight meal not included,14,0,12,6,2019,10262
Air India,kolkata,banglore,1200,2,no info,9,25,1,4,2019,12219
Indigo,mumbai,hyderabad,90,0,no info,19,5,1,5,2019,2754
Indigo,chennai,kolkata,135,0,no info,13,20,18,3,2019,3858
Indigo,kolkata,banglore,315,1,no info,21,0,9,6,2019,6911
Jet Airways,kolkata,banglore,1200,1,in-flight meal not included,14,5,6,5,2019,9663
Jet Airways,banglore,delhi,175,0,no info,15,50,21,5,2019,7229
Jet Airways,kolkata,banglore,800,1,no info,20,0,1,5,2019,14388
Jet Airways,delhi,cochin,745,1,in-flight meal not included,16,0,27,5,2019,12898
Indigo,banglore,new delhi,165,0,no info,1,30,24,3,2019,4777
Jet Airways,kolkata,banglore,330,1,no info,6,30,9,5,2019,14388
Multiple Carriers,delhi,cochin,420,1,no info,14,0,21,3,2019,13062
Air India,delhi,cochin,925,1,no info,3,50,24,6,2019,8669
Spicejet,mumbai,hyderabad,80,0,no check-in baggage included,13,10,15,3,2019,2385
Multiple Carriers,delhi,cochin,480,1,no info,13,0,9,5,2019,8073
Jet Airways,kolkata,banglore,730,1,no info,16,30,1,4,2019,12681
Jet Airways,delhi,cochin,1210,1,in-flight meal not included,22,50,21,5,2019,12898
Jet Airways,kolkata,banglore,1520,1,in-flight meal not included,9,35,6,6,2019,10539
Spicejet,banglore,delhi,160,0,no info,5,55,18,5,2019,3625
Spicejet,mumbai,hyderabad,90,0,no check-in baggage included,13,15,9,5,2019,2175
Indigo,mumbai,hyderabad,90,0,no info,2,35,21,6,2019,2754
Multiple Carriers,delhi,cochin,510,1,no info,17,0,24,6,2019,7198
Multiple Carriers,delhi,cochin,615,1,no info,8,45,24,6,2019,12524
Multiple Carriers,delhi,cochin,510,1,no info,10,20,21,3,2019,11999
Jet Airways,kolkata,banglore,585,1,no info,18,55,18,5,2019,13941
Jet Airways,mumbai,hyderabad,85,0,no info,7,5,1,6,2019,5678
Goair,banglore,delhi,175,0,no info,7,45,1,4,2019,4239
Indigo,kolkata,banglore,295,1,no info,9,20,6,6,2019,11160
Multiple Carriers,delhi,cochin,720,1,no info,9,0,24,6,2019,13587
Air India,kolkata,banglore,1100,2,no info,7,0,9,5,2019,13033
Vistara,banglore,delhi,170,0,no info,9,45,24,6,2019,4668
Air India,delhi,cochin,1660,1,no info,4,0,3,3,2019,14462
Jet Airways,delhi,cochin,800,1,no info,15,5,27,3,2019,12242
Air India,delhi,cochin,705,1,no info,20,30,21,4,2019,7258
Multiple Carriers,delhi,cochin,555,1,no info,10,0,1,6,2019,16108
Jet Airways,banglore,new delhi,375,1,no info,22,50,6,3,2019,19225
Jet Airways,kolkata,banglore,570,1,no info,14,5,9,5,2019,14781
Air India,delhi,cochin,180,0,no info,14,10,6,3,2019,7931
Vistara,delhi,cochin,190,0,no info,6,0,21,3,2019,6688
Spicejet,kolkata,banglore,145,0,no check-in baggage included,9,0,6,6,2019,3841
Indigo,banglore,new delhi,175,0,no info,10,5,1,3,2019,10067
Vistara,banglore,delhi,155,0,no info,17,0,15,6,2019,4878
Multiple Carriers,delhi,cochin,845,1,no info,4,55,15,6,2019,10678
Air Asia,banglore,delhi,170,0,no info,4,55,3,5,2019,6181
Multiple Carriers,delhi,cochin,600,1,no info,9,0,24,5,2019,10197
Spicejet,banglore,new delhi,170,0,no check-in baggage included,5,45,18,3,2019,4273
Jet Airways,delhi,cochin,350,1,in-flight meal not included,13,0,21,3,2019,6540
Jet Airways,delhi,cochin,335,1,in-flight meal not included,22,50,6,6,2019,10262
Air India,kolkata,banglore,905,1,no info,16,50,15,5,2019,8891
Air India,delhi,cochin,1590,1,no info,20,30,12,6,2019,8907
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,20,0,6,6,2019,10844
Jet Airways,kolkata,banglore,1610,1,no info,19,45,24,3,2019,13759
Spicejet,banglore,delhi,175,0,no check-in baggage included,21,10,6,6,2019,3257
Jet Airways,banglore,new delhi,700,1,no info,20,35,6,3,2019,16736
Jet Airways,kolkata,banglore,1150,1,in-flight meal not included,21,10,15,5,2019,10844
Jet Airways,delhi,cochin,660,1,no info,8,0,27,5,2019,16289
Jet Airways,delhi,cochin,1125,2,no info,9,40,6,6,2019,13014
Jet Airways,delhi,cochin,1325,2,no info,6,20,27,3,2019,12273
Air India,kolkata,banglore,1255,2,no info,16,50,15,5,2019,15532
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,7,5,12,6,2019,4995
Jet Airways,banglore,delhi,165,0,no info,6,0,15,5,2019,7229
Spicejet,banglore,delhi,170,0,no check-in baggage included,9,30,27,6,2019,3573
Multiple Carriers,delhi,cochin,455,1,no info,11,40,3,6,2019,9001
Multiple Carriers,delhi,cochin,600,1,no info,9,15,15,5,2019,8099
Indigo,banglore,delhi,175,0,no info,18,55,1,6,2019,4823
Air India,kolkata,banglore,590,2,no info,12,0,18,5,2019,10151
Jet Airways,mumbai,hyderabad,90,0,no info,15,50,21,3,2019,5678
Air India,delhi,cochin,2240,2,no info,5,55,3,3,2019,13748
Multiple Carriers,delhi,cochin,480,1,no info,13,0,27,5,2019,7408
Air India,kolkata,banglore,535,2,no info,9,25,18,5,2019,8366
Jet Airways,kolkata,banglore,1695,1,in-flight meal not included,16,30,6,5,2019,9663
Jet Airways,delhi,cochin,505,2,in-flight meal not included,20,0,6,6,2019,15318
Indigo,kolkata,banglore,155,0,no info,11,30,6,4,2019,4174
Jet Airways,kolkata,banglore,665,1,in-flight meal not included,21,10,9,6,2019,11841
Jet Airways,delhi,cochin,1025,2,in-flight meal not included,19,30,1,6,2019,10368
Indigo,kolkata,banglore,155,0,no info,14,20,3,3,2019,6565
Indigo,chennai,kolkata,140,0,no info,19,35,15,6,2019,3597
Vistara,banglore,new delhi,160,0,no info,7,0,9,3,2019,7975
Air India,banglore,new delhi,170,0,no info,21,5,24,3,2019,4441
Jet Airways,delhi,cochin,1105,1,in-flight meal not included,10,0,12,6,2019,10262
Indigo,kolkata,banglore,155,0,no info,22,15,24,5,2019,4804
Jet Airways,delhi,cochin,300,1,in-flight meal not included,14,0,18,5,2019,12373
Multiple Carriers,delhi,cochin,735,1,no info,8,45,18,5,2019,7670
Indigo,banglore,delhi,170,0,no info,8,30,12,6,2019,4823
Indigo,banglore,delhi,180,0,no info,21,15,12,5,2019,3943
Vistara,kolkata,banglore,1345,1,no info,20,20,24,3,2019,12102
Indigo,delhi,cochin,490,1,no info,14,20,18,5,2019,7640
Jet Airways,kolkata,banglore,1480,1,no info,20,25,9,6,2019,12692
Air India,delhi,cochin,800,2,no info,5,55,6,3,2019,13748
Jet Airways,delhi,cochin,1395,1,in-flight meal not included,19,45,3,6,2019,10262
Air India,mumbai,hyderabad,90,0,no info,13,55,12,6,2019,3100
Jet Airways,delhi,cochin,1365,2,in-flight meal not included,5,40,21,3,2019,9181
Jet Airways,delhi,cochin,320,1,no info,23,5,6,3,2019,15764
Multiple Carriers,delhi,cochin,385,1,no info,12,50,21,5,2019,8266
Air India,banglore,new delhi,165,0,no info,6,10,24,3,2019,4441
Air India,delhi,cochin,435,2,no info,12,0,15,5,2019,9601
Spicejet,banglore,delhi,170,0,no info,9,30,9,5,2019,4991
Jet Airways,banglore,new delhi,780,1,no info,21,25,18,3,2019,13555
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,18,55,9,5,2019,8586
Jet Airways,kolkata,banglore,1145,1,in-flight meal not included,16,55,24,3,2019,11134
Multiple Carriers,delhi,cochin,680,1,no info,7,30,3,3,2019,15135
Indigo,kolkata,banglore,160,0,no info,21,25,27,5,2019,4804
Indigo,delhi,cochin,895,1,no info,10,35,3,6,2019,5883
Spicejet,kolkata,banglore,155,0,no check-in baggage included,6,55,6,4,2019,3841
Multiple Carriers,delhi,cochin,375,1,no info,13,0,3,6,2019,14848
Indigo,delhi,cochin,305,1,no info,20,25,1,6,2019,6593
Indigo,delhi,cochin,355,1,no info,2,35,9,3,2019,11532
Indigo,mumbai,hyderabad,90,0,no info,21,20,6,5,2019,2227
Multiple Carriers,delhi,cochin,440,1,in-flight meal not included,11,40,24,6,2019,10791
Indigo,kolkata,banglore,165,0,no info,9,35,3,4,2019,4174
Multiple Carriers,delhi,cochin,465,1,in-flight meal not included,14,35,6,3,2019,7563
Jet Airways,kolkata,banglore,1330,1,in-flight meal not included,6,30,21,5,2019,8586
Jet Airways,banglore,delhi,180,0,no info,17,45,1,4,2019,7229
Multiple Carriers,delhi,cochin,540,1,in-flight meal not included,7,10,15,6,2019,6093
Jet Airways,delhi,cochin,1005,1,in-flight meal not included,2,15,6,4,2019,5177
Jet Airways,delhi,cochin,1615,2,in-flight meal not included,9,40,24,6,2019,10368
Multiple Carriers,delhi,cochin,615,1,no info,9,0,1,6,2019,16108
Multiple Carriers,delhi,cochin,570,1,no info,16,0,12,6,2019,13377
Jet Airways,delhi,cochin,620,1,in-flight meal not included,2,15,27,6,2019,10262
Jet Airways,banglore,delhi,165,0,no info,6,0,24,5,2019,7229
Air India,banglore,delhi,165,0,no info,10,0,21,4,2019,5228
Jet Airways,kolkata,banglore,1485,1,in-flight meal not included,20,0,24,5,2019,10844
Air India,kolkata,banglore,1210,2,no info,9,25,9,6,2019,11432
Jet Airways,kolkata,banglore,870,1,no info,20,25,1,5,2019,12121
Indigo,kolkata,banglore,155,0,no info,9,35,27,6,2019,4804
Air India,kolkata,banglore,155,0,no info,20,45,6,4,2019,4460
Jet Airways,banglore,new delhi,435,1,no info,8,0,1,3,2019,22270
Jet Airways,delhi,cochin,1105,1,in-flight meal not included,10,0,21,5,2019,12898
Jet Airways,mumbai,hyderabad,85,0,no info,7,5,6,5,2019,8040
Jet Airways,kolkata,banglore,740,1,no info,8,25,12,5,2019,14781
Multiple Carriers,delhi,cochin,455,1,no info,11,25,12,6,2019,10877
Air India,mumbai,hyderabad,90,0,no info,13,55,9,5,2019,3100
Jet Airways,delhi,cochin,660,1,1 long layover,8,0,24,6,2019,18581
Indigo,chennai,kolkata,145,0,no info,14,40,3,3,2019,7295
Air Asia,banglore,delhi,165,0,no info,11,10,15,5,2019,3383
Jet Airways,delhi,cochin,540,1,in-flight meal not included,10,0,18,5,2019,11399
Air India,delhi,cochin,1410,2,no info,19,45,18,5,2019,10651
Indigo,kolkata,banglore,155,0,no info,22,15,12,5,2019,4804
Jet Airways,delhi,cochin,330,1,in-flight meal not included,7,5,27,5,2019,12898
Indigo,banglore,delhi,170,0,no info,20,0,21,4,2019,4823
Indigo,banglore,delhi,170,0,no info,23,30,1,6,2019,4591
Multiple Carriers,delhi,cochin,735,1,no info,8,45,6,6,2019,7740
Air Asia,kolkata,banglore,150,0,no info,22,50,24,5,2019,4107
Jet Airways,delhi,cochin,535,2,in-flight meal not included,19,30,9,5,2019,13029
Jet Airways,delhi,cochin,2300,2,in-flight meal not included,5,25,6,3,2019,16389
Jet Airways,kolkata,banglore,1525,1,in-flight meal not included,21,10,9,6,2019,10844
Jet Airways,delhi,cochin,350,1,no info,13,0,6,3,2019,17024
Air India,banglore,new delhi,1705,2,no info,6,45,3,3,2019,12599
Indigo,kolkata,banglore,315,1,no info,21,0,24,5,2019,6534
Air India,kolkata,banglore,375,1,no info,10,0,12,6,2019,11936
Spicejet,banglore,delhi,160,0,no info,5,55,1,4,2019,3971
Indigo,banglore,delhi,170,0,no info,8,30,6,4,2019,4823
Spicejet,chennai,kolkata,135,0,no check-in baggage included,9,45,24,5,2019,3543
Jet Airways,delhi,cochin,620,1,no info,2,15,3,6,2019,14714
Indigo,delhi,cochin,275,1,no info,7,35,9,6,2019,5054
Indigo,mumbai,hyderabad,90,0,no info,16,55,21,6,2019,4392
Jet Airways,delhi,cochin,335,1,in-flight meal not included,22,50,21,5,2019,12898
Indigo,kolkata,banglore,155,0,no info,11,30,24,4,2019,4804
Indigo,banglore,new delhi,175,0,no info,21,20,24,3,2019,5694
Indigo,delhi,cochin,305,1,no info,23,30,15,6,2019,10112
Air Asia,kolkata,banglore,150,0,no info,22,50,18,3,2019,4082
